donor_state,candidates_state,num_donations,total_amount
META
META,SUMMARY,This dataset is state-to-state aggregations of individual contributions from the 2012 election cycle.
META,SUMMARY,See http://www.opensecrets.org/myos/bulk.php for source tables.
META,AUTHOR,Dataset compiled by Dan Lopuch -- github.com/dlopuch
META
META,DESCRIPTION,Individual contributions have been filtered to only those targetting Senate or House candidates
META,DESCRIPTION,(comittee and presidential contributions have been omitted).  Contributions have been further filtered
META,DESCRIPTION,to include only contributions with a with a different originating state than the candidate's running
META,DESCRIPTION,state (ie only out of state donations).
META,DESCRIPTION,The donator's address state is considered the 'donor_state', and the state in which the
META,DESCRIPTION,candidate was running for office in is the 'candidates_state'. 'total_amount' is in USD.
META
META,ATTRIBUTION,Source: Center for Responsive Politics at OpenSecrets.org.
META,LICENSE,This dataset released and licensed under the Creative Commons Share Alike http://creativecommons.org/licenses/by-nc-sa/3.0/
,AL,5,2882
,AZ,12,5850
,CA,25,11895
,CO,2,475
,CT,8,1450
,FL,25,34868
,GA,5,1900
,HI,2,750
,IL,8,2575
,IN,1,2500
,KY,7,10500
,LA,4,2350
,MA,1,500
,MD,11,7743
,ME,3,4000
,MI,6,9500
,MN,8,7570
,MO,11,15150
,MT,2,1278
,NC,12,10225
,ND,1,250
,NE,1,1250
,NH,8,5400
,NJ,7,2812
,NM,5,3543
,NV,4,1450
,NY,31,46271
,OH,6,6500
,OK,1,250
,PA,9,11000
,PR,1,700
,SD,4,5660
,TN,2,2250
,TX,8,4750
,UT,3,3250
,VA,10,7525
,WA,4,2017
,WI,8,6450
99,AK,1,1000
99,IN,1,250
AK,AL,1,1500
AK,AZ,4,750
AK,CA,13,5150
AK,CO,4,4494
AK,CT,2,600
AK,FL,26,11900
AK,GA,1,20
AK,HI,10,3064
AK,IA,4,900
AK,ID,1,1000
AK,IL,4,1500
AK,IN,2,-1000
AK,KY,9,16100
AK,MD,1,1500
AK,MI,4,1050
AK,MN,16,7800
AK,MT,20,20450
AK,ND,2,4000
AK,NE,1,-2400
AK,NH,5,3414
AK,NJ,1,214
AK,NM,10,13500
AK,NV,15,11400
AK,NY,11,2750
AK,OH,5,3950
AK,OR,3,730
AK,PA,1,500
AK,TX,2,450
AK,UT,1,250
AK,VA,2,450
AK,VT,4,900
AK,WA,29,19100
AK,WI,9,2050
AL,AR,6,1600
AL,AZ,15,11300
AL,CA,20,28986
AL,CT,2,2750
AL,DE,3,2300
AL,FL,185,100828
AL,GA,26,32770
AL,HI,5,2250
AL,IA,18,13250
AL,ID,8,6000
AL,IL,5,2750
AL,IN,37,33566
AL,KY,49,41501
AL,LA,2,1500
AL,MA,1,500
AL,MD,22,10750
AL,ME,1,1000
AL,MI,10,5750
AL,MN,77,34127
AL,MO,5,5500
AL,MS,8,6750
AL,MT,14,14236
AL,NC,11,8895
AL,ND,19,17643
AL,NE,11,8300
AL,NH,8,13600
AL,NJ,5,4550
AL,NM,15,14752
AL,NV,43,36311
AL,NY,5,3800
AL,OH,73,55713
AL,OR,2,400
AL,PA,16,14950
AL,SC,23,11100
AL,SD,4,3500
AL,TN,6,3400
AL,TX,22,16476
AL,UT,11,7750
AL,VA,20,18151
AL,VT,3,1450
AL,WA,4,2000
AL,WI,30,14500
AL,WV,1,2500
AR,AL,1,2500
AR,AZ,14,9950
AR,CA,12,9550
AR,CO,1,201
AR,CT,1,250
AR,DE,1,1000
AR,FL,45,35600
AR,GA,5,3878
AR,HI,1,200
AR,IA,27,12320
AR,IL,8,4650
AR,IN,16,17000
AR,KY,11,22700
AR,LA,2,750
AR,MA,2,500
AR,MD,4,5750
AR,MI,23,53200
AR,MN,46,15122
AR,MO,6,6250
AR,MS,6,4250
AR,MT,13,22750
AR,NC,2,750
AR,ND,12,4500
AR,NE,2,0
AR,NH,3,700
AR,NJ,5,3250
AR,NM,6,8700
AR,NV,4,3205
AR,NY,12,3550
AR,OH,32,20727
AR,OK,12,9500
AR,OR,8,2325
AR,PA,2,5000
AR,SD,1,500
AR,TN,1,1000
AR,TX,32,37735
AR,UT,2,500
AR,VA,3,4700
AR,VT,3,975
AR,WA,10,7516
AR,WI,28,8300
AS,AZ,1,250
AZ,AL,2,2500
AZ,AR,7,2700
AZ,CA,87,67285
AZ,CO,79,49450
AZ,CT,5,3750
AZ,DE,5,6500
AZ,FL,150,73425
AZ,GA,26,9801
AZ,HI,8,3700
AZ,IA,27,21550
AZ,ID,1,1500
AZ,IL,39,25750
AZ,IN,60,41900
AZ,KS,3,750
AZ,KY,8,5701
AZ,MA,6,1750
AZ,MD,15,16950
AZ,ME,2,500
AZ,MI,45,22850
AZ,MN,157,79127
AZ,MO,10,7950
AZ,MT,40,37565
AZ,NC,19,3400
AZ,ND,46,39065
AZ,NE,26,16500
AZ,NH,8,3500
AZ,NJ,42,34020
AZ,NM,102,89075
AZ,NV,117,99450
AZ,NY,31,18575
AZ,OH,150,123252
AZ,OR,27,19200
AZ,PA,28,27600
AZ,SC,9,6000
AZ,SD,11,8350
AZ,TN,2,1250
AZ,TX,53,38000
AZ,UT,29,14850
AZ,VA,16,8400
AZ,VT,19,7700
AZ,WA,16,8100
AZ,WI,107,46050
AZ,WV,3,3150
AZ,WY,1,2400
CA,AK,3,-7200
CA,AL,13,7150
CA,AR,69,40710
CA,AS,14,20900
CA,AZ,442,282549
CA,CO,129,110243
CA,CT,144,103749
CA,DC,1,1000
CA,DE,42,43750
CA,FL,1640,1020928
CA,GA,95,67139
CA,GU,1,1000
CA,HI,612,398118
CA,IA,296,218327
CA,ID,12,11000
CA,IL,845,599215
CA,IN,549,428785
CA,KS,17,15000
CA,KY,171,240990
CA,LA,18,18104
CA,MA,151,153079
CA,MD,267,213885
CA,ME,52,46500
CA,MI,606,428857
CA,MN,1417,785835
CA,MO,40,19350
CA,MS,5,6750
CA,MT,258,302654
CA,NC,88,87150
CA,ND,618,516992
CA,NE,150,121200
CA,NH,245,171743
CA,NJ,438,444929
CA,NM,432,398259
CA,NV,1266,1004350
CA,NY,565,434497
CA,OH,2630,2130881
CA,OK,13,10500
CA,OR,282,199720
CA,PA,134,80070
CA,PR,1,500
CA,RI,2,500
CA,SC,66,81289
CA,SD,79,62198
CA,TN,11,9525
CA,TX,546,491224
CA,UT,163,90460
CA,VA,767,783679
CA,VT,368,148477
CA,WA,505,471122
CA,WI,2326,1361890
CA,WV,9,9375
CA,WY,6,4000
